visual_group,top_level_topic,row_title,source_file,header_regex,default_labels
LINEAR FOUNDATIONS,binary-search,Binary Search,binary_search.html,^一、二分查找,PATTERN
LINEAR FOUNDATIONS,binary-search,Fundamentals,binary_search.html,^§1.1\s+基础,CORE
LINEAR FOUNDATIONS,binary-search,Advanced,binary_search.html,^§1.2\s+进阶,ADVANCED
LINEAR FOUNDATIONS,binary-search,Binary Search on Answer,binary_search.html,^二、二分答案,PATTERN
LINEAR FOUNDATIONS,binary-search,Minimize Maximum,binary_search.html,^§2.1\s+求最小,PATTERN
LINEAR FOUNDATIONS,binary-search,Maximize Minimum,binary_search.html,^§2.2\s+求最大,PATTERN
LINEAR FOUNDATIONS,binary-search,Binary Search Indirect Values,binary_search.html,^§2.3\s+二分间接值,PATTERN
LINEAR FOUNDATIONS,binary-search,Minimize the Maximum,binary_search.html,^§2.4\s+最小化最大值,PATTERN
LINEAR FOUNDATIONS,binary-search,Maximize the Minimum,binary_search.html,^§2.5\s+最大化最小值,PATTERN
LINEAR FOUNDATIONS,binary-search,Kth Smallest/Largest,binary_search.html,^§2.6\s+第\s+K\s+小/大,PATTERN
LINEAR FOUNDATIONS,binary-search,Ternary Search,binary_search.html,^三、三分法,PATTERN
LINEAR FOUNDATIONS,binary-search,Miscellaneous,binary_search.html,^四、其他,PATTERN
SPECIALIZED LOGIC,bitwise,Basic Problems,bitwise.html,^一、基础题,CORE
SPECIALIZED LOGIC,bitwise,XOR Properties,bitwise.html,^二、异或（XOR）的性质,PATTERN
SPECIALIZED LOGIC,bitwise,AND/OR Properties,bitwise.html,^三、与或（AND/OR）的性质,PATTERN
SPECIALIZED LOGIC,bitwise,Bit Manipulation / Contribution Method,bitwise.html,^四、拆位\s+/\s+贡献法,PATTERN
SPECIALIZED LOGIC,bitwise,Trial Filling,bitwise.html,^五、试填法,PATTERN
SPECIALIZED LOGIC,bitwise,Identities,bitwise.html,^六、恒等式,PATTERN
SPECIALIZED LOGIC,bitwise,Linear Basis,bitwise.html,^七、线性基,PATTERN
SPECIALIZED LOGIC,bitwise,Logical Thinking,bitwise.html,^八、思维题,THINKING
SPECIALIZED LOGIC,bitwise,Miscellaneous,bitwise.html,^九、其他,PATTERN
CORE DATA STRUCTURES,data-structures,Enumerate Right and Maintain Left,data_structures.html,^§0.1\s+枚举右，维护左,PATTERN
CORE DATA STRUCTURES,data-structures,Fundamentals,data_structures.html,^§0.1.1\s+基础,CORE
CORE DATA STRUCTURES,data-structures,Advanced,data_structures.html,^§0.1.2\s+进阶,ADVANCED
CORE DATA STRUCTURES,data-structures,Enumerate Middle,data_structures.html,^§0.2\s+枚举中间,PATTERN
CORE DATA STRUCTURES,data-structures,Traverse Diagonals,data_structures.html,^§0.3\s+遍历对角线,PATTERN
CORE DATA STRUCTURES,data-structures,Prefix Sum,data_structures.html,^一、前缀和,PATTERN
CORE DATA STRUCTURES,data-structures,Fundamentals,data_structures.html,^§1.1\s+基础,CORE
CORE DATA STRUCTURES,data-structures,Prefix Sum with Hash Table,data_structures.html,^§1.2\s+前缀和与哈希表,PATTERN
CORE DATA STRUCTURES,data-structures,Distance Sum,data_structures.html,^§1.3\s+距离和,PATTERN
CORE DATA STRUCTURES,data-structures,Bitmask Prefix Sum,data_structures.html,^§1.4\s+状态压缩前缀和,PATTERN
CORE DATA STRUCTURES,data-structures,Advanced,data_structures.html,^§1.5\s+进阶,ADVANCED
CORE DATA STRUCTURES,data-structures,2D Prefix Sum,data_structures.html,^§1.6\s+二维前缀和,PATTERN
CORE DATA STRUCTURES,data-structures,Difference Array,data_structures.html,^二、差分,PATTERN
CORE DATA STRUCTURES,data-structures,1D Difference Array,data_structures.html,^§2.1\s+一维差分,PATTERN
CORE DATA STRUCTURES,data-structures,Fundamentals,data_structures.html,^§2.1.1\s+基础,CORE
CORE DATA STRUCTURES,data-structures,Advanced,data_structures.html,^§2.1.2\s+进阶,ADVANCED
CORE DATA STRUCTURES,data-structures,2D Difference Array,data_structures.html,^§2.2\s+二维差分,PATTERN
CORE DATA STRUCTURES,data-structures,Stack,data_structures.html,^三、栈,PATTERN
CORE DATA STRUCTURES,data-structures,Fundamentals,data_structures.html,^§3.1\s+基础,CORE
CORE DATA STRUCTURES,data-structures,Advanced,data_structures.html,^§3.2\s+进阶,ADVANCED
CORE DATA STRUCTURES,data-structures,Adjacent Element Removal,data_structures.html,^§3.3\s+邻项消除,PATTERN
CORE DATA STRUCTURES,data-structures,Valid Parentheses (RBS),data_structures.html,^§3.4\s+合法括号字符串（RBS）,PATTERN
CORE DATA STRUCTURES,data-structures,Expression Parsing,data_structures.html,^§3.5\s+表达式解析,PATTERN
CORE DATA STRUCTURES,data-structures,Double-Ended Stack,data_structures.html,^§3.6\s+对顶栈,PATTERN
CORE DATA STRUCTURES,data-structures,Monotonic Stack,data_structures.html,^§3.7\s+单调栈,PATTERN
CORE DATA STRUCTURES,data-structures,Queue,data_structures.html,^四、队列,PATTERN
CORE DATA STRUCTURES,data-structures,Fundamentals,data_structures.html,^§4.1\s+基础,CORE
CORE DATA STRUCTURES,data-structures,Design,data_structures.html,^§4.2\s+设计,PATTERN
